"abk","pubyear","count"
KritV,2008,41
RabelsZ,2002,8
KritV,2014,64
RabelsZ,2007,17
KJ,1969,27
ZRG,1971,1
ZRG,1916,3
KJ,1988,37
ZRG,1906,4
JZ,2019,3
ZStW,2022,1
Verw,2010,31
JURA,2023,3
ZRG,1972,2
ZRG,1904,1
EuR,2019,11
ZaoRV,2023,179
ZRG,1919,3
KJ,2019,15
JZ,2016,20
JURA,2019,1
JR,2019,1
EuR,2015,7
Verw,2017,42
ZStW,2008,8
ZRG,2005,1
JZ,2012,6
KJ,1981,42
JZ,2010,10
KritV,2005,45
KJ,1997,41
ZRG,1903,1
Staat,2020,23
ZRG,2006,2
RabelsZ,2014,21
ZGR,2016,4
EuR,2022,2
ZStW,2016,6
KritV,2009,37
JR,2014,7
ZaoRV,2021,287
AcP,2011,1
JURA,2021,1
KJ,1985,33
ZStW,2021,2
ZGR,2011,3
RabelsZ,2013,18
JURA,2017,2
ZRG,2003,1
Verw,2021,24
KJ,2016,11
ZGR,2018,2
ZRG,1937,5
NStZ,2013,1
KritV,2010,56
ZStW,2018,3
KritV,2023,6
KJ,2020,7
KJ,2022,1
JR,2015,1
Verw,2008,10
Verw,2012,5
AVR,2009,8
ZRG,1976,4
JR,1989,2
ZRG,1996,1
RabelsZ,2016,7
AG,2018,1
JR,2013,1
KJ,1973,41
ZRG,1986,1
ZRG,1956,4
ZStW,2009,1
RabelsZ,2017,20
ZRG,1969,5
KJ,2017,8
KJ,2021,2
ZRG,1925,1
Staat,2013,31
Verw,2016,15
KJ,2008,102
KJ,2011,79
RabelsZ,2020,36
ZGR,2013,7
AVR,2007,3
ZGR,2015,2
ZRG,1892,1
KritV,2007,146
KritV,2006,43
KritV,2016,23
RabelsZ,2021,25
ZRG,1982,2
KritV,2011,42
ZRG,1985,1
RabelsZ,2019,12
ZRG,1988,1
ZStW,2001,1
ZRG,1889,1
JR,2012,1
ZaoRV,2022,175
ZRG,2009,5
KJ,2010,90
Staat,2018,64
KJ,1995,40
Staat,2010,11
ZRG,1920,1
Staat,2008,1
ZRG,2021,2
RabelsZ,2018,11
JZ,2018,35
AG,2021,2
KritV,2021,14
MDR,2020,3
KJ,1968,25
AcP,2008,9
KJ,1983,28
JURA,2009,1
KJ,1979,34
KJ,1972,34
KJ,1974,30
KJ,2023,10
ZRG,1959,1
ZRG,1934,1
RabelsZ,2022,1
KJ,1996,44
ZGR,2010,38
ZRG,1977,2
RabelsZ,2012,17
RabelsZ,2010,1
Verw,2015,27
ZRG,1961,3
ZRG,1963,1
Verw,2019,24
KJ,1990,39
KJ,2003,88
JURA,2020,1
JZ,2017,5
ZRG,1974,2
RabelsZ,2015,8
JURA,2018,2
RabelsZ,2004,1
JR,2020,2
MDR,2021,5
ZRG,1938,1
KJ,2009,93
ZRG,1960,3
ZRG,1942,1
CR,2021,3
RabelsZ,2009,15
Verw,2011,1
ZStW,1906,12
Verw,2014,19
JR,1996,1
ZRG,1968,2
Staat,2014,50
MDR,2023,11
EuR,2004,11
EuR,2021,7
ZRG,1909,1
ZRG,1979,1
ZRG,1941,1
ZGR,1996,5
ZRG,2002,3
KJ,1980,32
KJ,1984,32
JURA,2022,6
JURA,2013,4
ZStW,1911,9
KJ,1975,33
KJ,1971,35
Staat,2012,26
AG,2023,3
AcP,2023,1
Staat,2016,41
Staat,2009,15
ZRG,1911,1
EuR,2018,3
AG,2008,1
KJ,2004,74
EuR,2020,4
Staat,2021,19
ZRG,2014,1
AVR,2014,2
JURA,2014,4
KJ,2012,81
KJ,1976,33
JZ,2015,3
KritV,2019,12
KJ,2007,71
KJ,1987,48
ZRG,1896,1
Verw,2020,25
ZRG,1932,4
ZRG,1970,2
AcP,2020,6
KJ,2000,42
ZRG,1918,3
KJ,1977,54
ZStW,2020,3
EuR,2014,11
KJ,1998,56
ZRG,1924,1
KJ,2018,1
ZRG,1967,2
ZRG,2004,1
KJ,1999,57
CR,2019,1
ZRG,2022,7
KritV,2004,21
Verw,2013,20
MDR,2019,8
RabelsZ,2011,23
KJ,1986,43
EuR,2016,31
JR,2023,2
ZRG,1965,2
JZ,2021,2
KJ,2015,18
ZRG,2001,2
Staat,2017,57
KJ,1982,34
ZRG,1953,1
KritV,2003,39
KJ,2005,99
Staat,2015,19
ZRG,1886,1
Staat,2011,6
ZRG,1981,1
ZRG,1990,1
JR,2021,2
AVR,2012,2
ZStW,2019,1
ZRG,1999,1
ZRG,1975,4
KJ,1991,39
ZRG,1957,2
ZRG,1912,2
ZRG,1876,1
ZGR,2012,5
ZRG,1907,3
KritV,2020,5
KJ,1989,33
ZRG,2008,6
KJ,1978,30
KJ,2013,84
KJ,1994,43
AcP,2010,3
KJ,1992,37
AcP,2018,4
JURA,2015,2
ZRG,1915,2
ZStW,2006,3
AG,2019,2
Staat,2019,11
KJ,2014,73
KJ,2002,77
KJ,1993,45
MDR,2022,6
ZRG,2019,4
ZGR,2014,1
RabelsZ,2006,3
KritV,2022,4
ZStW,2014,17
KJ,1970,52
KritV,2015,7
KritV,2012,59
KJ,2001,34
JR,1985,2
ZRG,2010,4
ZRG,1966,3
Verw,2018,109
ZRG,1973,5
KJ,2006,54
ZRG,1955,2
JZ,2009,5
JURA,2010,3
ZStW,2023,9
KritV,2013,42
