year,number_of_journals
2009,1073
2011,1071
2007,1069
2010,1069
2008,1068
2012,1061
2013,1055
2015,1047
2014,1046
2006,1041
2016,1032
2017,1025
2005,1024
2004,1017
2018,1016
2019,1002
2020,994
2003,991
2021,978
2002,973
2022,971
2001,961
2023,948
2000,946
1999,929
1998,909
1997,894
1996,861
1995,853
1994,836
1993,825
1992,802
1991,781
1990,761
1989,734
1988,729
1987,718
1985,715
1986,709
1984,699
1983,683
1982,672
1981,659
1980,647
1979,633
1978,627
1977,608
1976,597
1975,583
1974,565
1973,555
1972,534
1971,524
1970,513
1969,502
1968,489
1967,472
1966,465
1965,458
1964,445
1963,434
1962,430
1961,420
1960,415
1959,409
1958,400
1957,389
1956,375
1955,369
1954,347
1953,330
1952,311
1951,289
1950,270
1949,251
1948,235
1947,219
1946,201
1945,194
